task_1,translated
0,"Send your mother to me along with her wife, today the weather will enjoy good fuck. You will get your brokerage "
1,"Is this the same government which also finds target in ""Space"" before the election. "
0,"Write a 'worshiped' Bhosadi 'worshiped' great, chakraborty such words. "
1,Akhilesh struggle for the ability to society 
1,"VVS Laxman said on Dhoni controversy - I support him, he is the best finisher #dhoni #vvslaxman "
1,"# What is said on the border? Our jawan has a culinary jawan, # @iarmysupporter @adgpi "
1,"When asked questions on son's foolishness, Kailash Vijayvargiya, said to the news 24 - ""What is your auditor?"" "
1,"Before joining the Scheduled Castes to Schedule Castes, , "
0,Moving Dicky Madarsa Print Matherchod Bhosdke herself your own .... 
1,Dance will be ..! Music will be ..! Life will be celebrated ..! 'He's' is to land in the lives. 'You' open the new ones ..! Empty the place ..! # Hindi_ 
0,Some pigs are saying that the idols are broken only. Humans are slightly a little bit. Will eat. What will you do? 
1,@IRTCA 02 @ Anjram 7743 @ Repts @ghitinandanand 2 @ conjurize 6 @ jubina_ @ Moirophrbs 
1,"Railway's new time table: Speed of 261 trains increased, 49 new trains included #Indianrailways https://abpnews.abplive.in/india-news/indian-railways-new-time-table-271-trains-speeded-up- 1158240 ... "
0,"We know that you have a sperm sperm from Pakistan's Vicky Donor's sperm, which is a chool "
1,Delhi Metro: The government has given approval to the deployment of five thousand additional personnel of CISF #Delhimetro https://abpnews.abplive.in/india-news/delhi-metro-government-approves-additional-5000-cisf-troops-1157582 ... 
1,"Wow team India ... many congratulations! To maintain their invincible order against the West Indies in the World Cup, very good luck to the Indian team and very good luck for upcoming matches. Our Indian cricket team once again proved that no one like them in the world. #Indvswi #teamindia "
1,In the country where # Kanhaiya is written like a young man. 
0,"Tera Sita Maya to Ravana Maar, then your Gadu Rama did not know. Since 4000 years, Shankar's land sucking, then the cut will be done to your Sita Randi. Parvati's Chut Pe is falling water with the help of land. British broker country's traitor Suvar Godse and Suvar Savarkar's illegitimate "
0,Can any sopper journalist tell that what is the loss of your or any side by leaving the Bollywood of #zairawasim? If there is no harm then why are you crying to cry like a bless? @anjnaomkashyap @Manakgupta @Sardanarohit @Amishdevgan 
1,"Honorable Mr. @HardeepSpuri Greetings on the Urban Development and Civil Aviation Ministry (Independent Charge), Minister of Commerce and Industry (Minister). "
0,#Mishankar was expelled on saying # Bapu's killer #godse to say # Pragya will also be expelled? @Amitshah @rahulgandhi @Sadhvipragya_mp @narendramodi 
1,Surate Hall A Uttar Pradesh How long will it run? @Uppolice @dgpup 
0,Where is the ganja getting today ... 
0,Do not understand what they want to prove. Held orange sours 
1,"Please this is Amethi's Mohanganj officer. As long as the money will not do, we will not feel 8. Because the power department is very much. @ptshrikant ji Please take strict action with you. @UppCllko @ 1912mvvnl g pay attention. "
1,The price of TALAQ in Uttar Pradesh is so much. Crime tak to watch full video click here https://bit.ly/2Lxvgbg @ mohdasim93 
0,"This # Bakalad # Bakhor # Bhadve # Haramkhor # As a traitor # Dogs with Seth Seth, why not contest the election 543 seats, "
1,"(2/2)    [Meridies ( Midday), Ante (Before) and Post (After),    But it is believed that the real origin of word is from sanskrit language ....    Meridiem - Martandasya .  Ante - Arohanam .  Post - Paschat or Patanam . "
1,"Ever see - 'Chamar Chat Bhandar' 'Bhangi T Stall ""Khatik Chaamin Corner"" Pasi ji's pure dhaba' on the day the day it will be seen, # Article_15 will understand. Read the Constitution, it is more interesting than the picture. @ Anjupra7743 @Vndnason @bkarwadiya @ Rana11639322 @girishrita @ Sheetalsuryav10 "
1,@Narendramodi ji is now more than what the photo is saying a lot in itself 
